Grapheme	IPA	STRUCTURE
$	NULL	NULL
/	/	/
^	NULL	NULL
^iok	j o k	i n c
^iuat	j u a t	m n c
^iuən	j u ə n	i m n c
^yak	ɥ a k	i n c
a	a	n
ai	a i	n c
ak	a k	n c
an	a n	n c
ang	a ŋ	n c
b	b	i
bak	b a k	i n c
bat	b a t	i n c
beak	b e a k	i m n c
beat	b e a t	i m n c
bok	b o k	i n c
bu	b u	i n
bək	b ə k	i n c
d	d	i
da	d a	i n
dak	d a k	i n c
dam	d a m	i n c
dan	d a n	i n c
dat	d a t	i n c
deak	d e a k	i m n c
deok	d e o k	i m n c
dj	dʲ	i
do	d o	i n
dok	d o k	i n c
du	d u	i n
duk	d u k	i n c
dz	dz	i
dza	dz a	i n
dzak	dz a k	i n c
dzan	dz a n	i n c
dzh	dzʰ	i
dzok	dz o k	i n c
dzu	dz u	i n
dzə	dz ə	i n
dzək	dz ə k	i n c
də	d ə	i n
dək	d ə k	i n c
e	e	n
eai	e a i	m n c
eam	e a m	m n c
ean	e a n	m n c
eat	e a t	m n c
ek	e k	n c
en	e n	n c
eng	e ŋ	n c
eok	e o k	m n c
eong	e o ŋ	m n c
et	e t	n c
g	g	i
h	h	i
ha	h a	i n
ham	h a m	i n c
han	h a n	i n c
hat	h a t	i n c
he	h e	i n
hea	h e a	i m n
heam	h e a m	i m n c
hean	h e a n	i m n c
heat	h e a t	i m n c
heəp	h e ə p	i m n c
ho	h o	i n
hoa	h o a	i m n
hoak	h o a k	i m n c
hoan	h o a n	i m n c
hoəm	h o ə m	i m n c
hu	h u	i n
huk	h u k	i n c
həp	h ə p	i n c
i	j	m
ia	i a	m n
iai	i a i	m n c
iak	i a k	m n c
iam	i a m	m n c
ian	i a n	m n c
iang	i a ŋ	m n c
iap	i a p	m n c
iat	i a t	m n c
ie	i e	m n
iei	i e i	m n c
iek	i e k	m n c
ien	i e n	m n c
ieng	i e ŋ	m n c
iet	i e t	m n c
io	i o	m n
iok	i o k	m n c
iong	i o ŋ	m n c
iu	i u	m n
iuai	i u a i	i m n c
iuk	i u k	m n c
iuəi	i u ə i	i m n c
iuəm	j u ə m	i m n c
iuət	j u ə t	i m n c
iô	i ô/o	m n
iôk	i ô/o k	i n c
iə	i ə	m n
iək	i ə k	m n c
iəm	i ə m	m n c
iən	i ə n	m n c
iəng	i ə ŋ	m n c
iəp	i ə p	m n c
j	j	m
jia	j i a	i m n
jian	j i a n	i m n c
jiap	j i a p	i m n c
jiat	j i a t	i m n c
jiek	j i e k	i m n c
jien	j i e n	i m n c
jiet	j i e t	i m n c
jio	j i o	i m n
jiok	j i o k	i m n c
jiə	j i ə	i m n
jiək	j i ə k	i m n c
k	k	c
ka	k a	i n
kak	k a k	i n c
kam	k a m	i n c
kan	k a n	i n c
kat	k a t	i n c
ke	k e	i n
kea	k e a	i m n
keak	k e a k	i m n c
keam	k e a m	i m n c
kean	k e a n	i m n c
keap	k e a p	i m n c
keok	k e o k	i m n c
ket	k e t	i n c
keən	k e ə n	i m n c
kh	kʰ	i
ko	k o	i n
koa	k o a	i m n
koan	k o a n	i m n c
kok	k o k	i n c
koək	k o ə k	i m n c
koən	k o ə n	i m n c
ku	k u	i n
kuk	k u k	i n c
kək	k ə k	i n c
kət	k ə t	i n c
l	l	i
la	l a	i n
lak	l a k	i n c
lam	l a m	i n c
lan	l a n	i n c
lo	l o	i n
lok	l o k	i n c
lu	l u	i n
lə	l ə	i n
m	m	c
mak	m a k	i n c
mea	m e a	i m n
meak	m e a k	i m n c
mean	m e a n	i m n c
meat	m e a t	i m n c
meə	m e ə	i m n
mok	m o k	i n c
mu	m u	i n
mə	m ə	i n
n	n	c
na	n a	i n
nak	n a k	i n c
nan	n a n	i n c
ng	ŋ	c
nj	nʲ	i
nə	n ə	i n
nəm	n ə m	i n c
nəp	n ə p	i n c
o	o	n
ok	o k	n c
ong	o ŋ	n c
p	p	i
pak	p a k	i n c
pan	p a n	i n c
pea	p e a	i m n
peak	p e a k	i m n c
peat	p e a t	i m n c
ph	pʰ	i
pok	p o k	i n c
pu	p u	i n
pək	p ə k	i n c
pən	p ə n	i n c
q	q	i
s	s	i
sa	s a	i n
sak	s a k	i n c
sh	ʃ	i
sj	sʲ	i
sok	s o k	i n c
su	s u	i n
sək	s ə k	i n c
səm	s ə m	i n c
t	t	i
ta	t a	i n
tan	t a n	i n c
tat	t a t	i n c
tek	t e k	i n c
teok	t e o k	i m n c
th	tʰ	i
thj	tʰʲ	i
tj	tʲ	i
to	t o	i n
ts	ts	i
tsak	ts a k	i n c
tsan	ts a n	i n c
tsh	tsʰ	i
tsu	ts u	i n
tsə	ts ə	i n
tsəm	ts ə m	i n c
tu	t u	i n
tuk	t u k	i n c
tz	tz/ʈʂ	i
tzh	tzh/ʈʂʰ	i
tək	t ə k	i n c
təm	t ə m	i n c
təp	t ə p	i n c
u	w	m
uəm	u ə m	m n c
uət	u ə t	m n c
x	x	i
xa	x a	i n
xak	x a k	i n c
xan	x a n	i n c
xeak	x e a k	i m n c
xu	x u	i n
xə	x ə	i n
xək	x ə k	i n c
y	ɥ	m
ya	y a	m n
yai	y a i	m n c
yak	y a k	m n c
yei	y e i	m n c
yek	y e k	m n c
yet	y e t	m n c
yu	y u	m n
yuən	y u ə n	i m n c
yəm	y ə m	m n c
z	z	i
zh	ʒ	i
zj	zʲ	i
ô	ô/o	n
ôk	ô/o k	n c
ə	ə	n
ək	ə k	n c
ən	ə n	n c
əng	ə ŋ	n c
ət	ə t	n c
